city_id,city_name,state_name,state_abbrev,lat,lng
540,Hoover,Alabama,AL,33.3754,-86.8064
541,Lake Forest,California,CA,33.6606,-117.6712
542,Napa,California,CA,38.2976,-122.3011
543,Whittier,California,CA,33.9678,-118.0188
544,Clifton,New Jersey,NJ,40.8631,-74.1575
545,Largo,Florida,FL,27.9088,-82.7711
546,Bloomington,Minnesota,MN,44.8306,-93.3151
547,Johns Creek,Georgia,GA,34.0333,-84.2027
548,Newport Beach,California,CA,33.6151,-117.8669
549,Mission,Texas,TX,26.2041,-98.3251
550,Milpitas,California,CA,37.4339,-121.8921
551,Troy,Michigan,MI,42.5818,-83.1457
552,Madera,California,CA,36.9631,-120.0782
553,Joplin,Missouri,MO,37.0758,-94.5018
554,Chino Hills,California,CA,33.9508,-117.7253
555,Alhambra,California,CA,34.084,-118.1355
556,Franklin,Tennessee,TN,35.9216,-86.8525
557,Melbourne,Florida,FL,28.1085,-80.6627
558,Port Huron,Michigan,MI,42.9822,-82.4387
559,Springfield,Ohio,OH,39.9297,-83.7957
560,Mountain View,California,CA,37.4,-122.0796
561,Zephyrhills,Florida,FL,28.2408,-82.1796
562,St. Augustine,Florida,FL,29.8977,-81.31
563,Flagstaff,Arizona,AZ,35.1872,-111.6195
564,Buena Park,California,CA,33.8572,-118.0046
565,Pleasanton,California,CA,37.6663,-121.8805
566,Silver Spring,Maryland,MD,39.0028,-77.0207
567,Atascocita,Texas,TX,29.9777,-95.1953
568,Westland,Michigan,MI,42.3192,-83.3805
569,Auburn,Washington,WA,47.3039,-122.2108
570,Cranston,Rhode Island,RI,41.7658,-71.4857
571,Somerville,Massachusetts,MA,42.3908,-71.1013
572,Folsom,California,CA,38.6668,-121.1422
573,Springdale,Arkansas,AR,36.1899,-94.1574
574,Deerfield Beach,Florida,FL,26.305,-80.1277
575,Warwick,Rhode Island,RI,41.7062,-71.4334
576,Cicero,Illinois,IL,41.8445,-87.7593
577,Farmington Hills,Michigan,MI,42.486,-83.3771
578,Newark,Ohio,OH,40.0705,-82.4251
579,Williamsburg,Virginia,VA,37.2692,-76.7076
580,Brooklyn Park,Minnesota,MN,45.1112,-93.3505
581,Hattiesburg,Mississippi,MS,31.3074,-89.317
582,Alexandria,Louisiana,LA,31.2923,-92.4702
583,Lawrence,Massachusetts,MA,42.7003,-71.1626
584,Florence,Alabama,AL,34.8303,-87.6654
585,Valdosta,Georgia,GA,30.8502,-83.2788
586,Plymouth,Minnesota,MN,45.0225,-93.4618
587,Buckeye,Arizona,AZ,33.4314,-112.6429
588,Georgetown,Texas,TX,30.6668,-97.6953
589,Cheyenne,Wyoming,WY,41.1351,-104.79
590,Cedar Park,Texas,TX,30.5106,-97.8196
591,The Villages,Florida,FL,28.9021,-81.9888
592,Kokomo,Indiana,IN,40.464,-86.1277
593,Tustin,California,CA,33.7309,-117.8106
594,Lakewood,California,CA,33.8471,-118.1221
595,Perris,California,CA,33.7899,-117.2233
596,St. Joseph,Missouri,MO,39.7599,-94.821
597,Flower Mound,Texas,TX,33.0344,-97.1146
598,Pharr,Texas,TX,26.1685,-98.1904
599,Pine Hills,Florida,FL,28.5818,-81.4693
600,Alton,Illinois,IL,38.9034,-90.1523
601,Loveland,Colorado,CO,40.4166,-105.0623
602,Boynton Beach,Florida,FL,26.5281,-80.0811
603,New Rochelle,New York,NY,40.9305,-73.7836
604,Anderson,South Carolina,SC,34.5211,-82.6479
605,Jonesboro,Arkansas,AR,35.8212,-90.6791
606,Lebanon,Pennsylvania,PA,40.3412,-76.4227
607,Parma,Ohio,OH,41.3843,-81.7286
608,Layton,Utah,UT,41.0769,-111.9621
609,Elizabethtown,Kentucky,KY,37.703,-85.877
610,Texarkana,Texas,TX,33.4487,-94.0815
611,Alameda,California,CA,37.767,-122.2672
612,Kankakee,Illinois,IL,41.1019,-87.8643
613,Watsonville,California,CA,36.9206,-121.7706
614,Porterville,California,CA,36.0644,-119.0338
615,Baytown,Texas,TX,29.7586,-94.9669
616,Upland,California,CA,34.1178,-117.6603
617,Davis,California,CA,38.5552,-121.7365
618,Camarillo,California,CA,34.223,-119.0322
619,South Jordan,Utah,UT,40.557,-111.9782
620,Battle Creek,Michigan,MI,42.2986,-85.2296
621,Bellflower,California,CA,33.888,-118.1271
622,San Marcos,Texas,TX,29.8736,-97.9381
623,San Ramon,California,CA,37.7625,-121.9365
624,Lake Jackson,Texas,TX,29.0516,-95.4522
625,Bethlehem,Pennsylvania,PA,40.6266,-75.3679
626,Wyoming,Michigan,MI,42.8909,-85.7066
627,Oshkosh,Wisconsin,WI,44.0228,-88.5619
628,Hammond,Indiana,IN,41.6169,-87.491
629,Waldorf,Maryland,MD,38.6085,-76.9195
630,Missouri City,Texas,TX,29.563,-95.5365
631,Pasco,Washington,WA,46.2506,-119.1304
632,Wheeling,West Virginia,WV,40.0752,-80.6951
633,Kendall,Florida,FL,25.6697,-80.3556
634,Baldwin Park,California,CA,34.0829,-117.9721
635,Rancho Cordova,California,CA,38.574,-121.2523
636,Conway,Arkansas,AR,35.0754,-92.4694
637,Gary,Indiana,IN,41.5906,-87.3472
638,Altoona,Pennsylvania,PA,40.5082,-78.4007
639,Lodi,California,CA,38.1218,-121.2932
640,Arlington Heights,Illinois,IL,42.0955,-87.9825
641,Bolingbrook,Illinois,IL,41.6903,-88.1019
642,Rochester Hills,Michigan,MI,42.6645,-83.1563
643,Winchester,Virginia,VA,39.1735,-78.1746
644,Framingham,Massachusetts,MA,42.3085,-71.4368
645,Hilton Head Island,South Carolina,SC,32.1896,-80.7499
646,Centreville,Virginia,VA,38.8391,-77.4388
647,Union City,California,CA,37.603,-122.0187
648,Owensboro,Kentucky,KY,37.7574,-87.1173
649,Jackson,Tennessee,TN,35.6535,-88.8353
650,Wausau,Wisconsin,WI,44.962,-89.6459
651,Camden,New Jersey,NJ,39.9362,-75.1073
652,Anniston,Alabama,AL,33.6712,-85.8136
653,Evanston,Illinois,IL,42.0463,-87.6942
654,Apple Valley,California,CA,34.5328,-117.2104
655,Mansfield,Ohio,OH,40.7656,-82.5275
656,Caguas,Puerto Rico,PR,18.2319,-66.0388
657,Schaumburg,Illinois,IL,42.0307,-88.0838
658,Pocatello,Idaho,ID,42.8724,-112.4646
659,Woodbury,Minnesota,MN,44.9056,-92.923
660,Southfield,Michigan,MI,42.4765,-83.2605
661,Ellicott City,Maryland,MD,39.2773,-76.8344
662,Dale City,Virginia,VA,38.6473,-77.3459
663,Maple Grove,Minnesota,MN,45.1089,-93.4626
664,Pittsburg,California,CA,38.0182,-121.8964
665,New Britain,Connecticut,CT,41.6758,-72.7862
666,Morgantown,West Virginia,WV,39.638,-79.9468
667,Mansfield,Texas,TX,32.569,-97.1211
668,Hammond,Louisiana,LA,30.5061,-90.4563
669,Dothan,Alabama,AL,31.2335,-85.4069
670,Harrisonburg,Virginia,VA,38.4361,-78.8735
671,Wenatchee,Washington,WA,47.4356,-120.3283
672,Waukesha,Wisconsin,WI,43.0087,-88.2464
673,Pawtucket,Rhode Island,RI,41.8744,-71.3743
674,Redmond,Washington,WA,47.6762,-122.1169
675,Lauderhill,Florida,FL,26.1605,-80.2242
676,Sumter,South Carolina,SC,33.9392,-80.393
677,Redlands,California,CA,34.0511,-117.1712
678,Daphne,Alabama,AL,30.6286,-87.8866
